id,white,y,u,v,y_mean,u_mean,v_mean,y_std,u_std,v_std,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47
0,1,210,126,129,208.5,126.5,130.0,4.15331193146,0.957427107756,0.816496580928,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
1,1,213,126,130,208.5,126.5,130.0,4.15331193146,0.957427107756,0.816496580928,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
2,1,211,127,129,208.5,126.5,130.0,4.15331193146,0.957427107756,0.816496580928,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
3,1,211,127,130,208.5,126.5,130.0,4.15331193146,0.957427107756,0.816496580928,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
4,1,205,125,131,208.5,126.5,130.0,4.15331193146,0.957427107756,0.816496580928,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
5,1,201,128,131,208.5,126.5,130.0,4.15331193146,0.957427107756,0.816496580928,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
6,0,210,126,129,152.6,98.8,150.0,1.95959179423,1.6,2.2803508502,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
7,0,213,126,130,152.6,98.8,150.0,1.95959179423,1.6,2.2803508502,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
8,0,211,127,129,152.6,98.8,150.0,1.95959179423,1.6,2.2803508502,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
9,0,211,127,130,152.6,98.8,150.0,1.95959179423,1.6,2.2803508502,0.119265789474,0.00278859649123,0.0138210526316,0.0379052631579,0.234587719298,0.0375640350877,0.00239385964912,0.00453771929825,0.0267631578947,0.0923552631579,0.241965789474,0.121186842105,0.0635070175439,0.000933333333333,0.000215789473684,0.000208771929825,1.9298245614e-05,9.29824561404e-05,0.000136842105263,0.000364912280702,0.000333333333333,0.000361403508772,0.000574561403509,0.000421929824561,0.000585087719298,0.00555,0.00963596491228,0.0128842105263,0.347195614035,0.292450877193,0.0259245614035,0.303468421053,0.00354385964912,0.158449122807,0.162256140351,0.19229122807,0.269237719298,0.202510526316,0.00732368421053,0.00163157894737,0.000669298245614,0.000531578947368,0.000634210526316,0.000231578947368,0.000369298245614,0.00020350877193,8.85964912281e-05,2.80701754386e-05
